Draw #      Draw Date           Number_1    Number_2    Number_3    Number_4    Number_5    Powerball

676     	Sat. Sep 28, 2019        17          24          46          48          63            4
676     	Sat. Sep 28, 2019         7          16          31          36          65            7
676     	Sat. Sep 28, 2019        11          20          42          52          56            8

# 675     	Wed. Sep 25, 2019         7          20          32          45          59            6
# 675     	Wed. Sep 25, 2019         8          21          33          46          62            7
# 675     	Wed. Sep 25, 2019         9          22          34          47          63            8
675     	Wed. Sep 25, 2019         8          26          28          46          58            8

674     	Sat. Sep 21, 2019         4          16          29          41          56           20
674     	Sat. Sep 21, 2019         5          24          30          42          59           22
674     	Sat. Sep 21, 2019         6          25          40          49          64           24
674     	Sat. Sep 21, 2019        11          20          49          52          56            8

673     	Wed. Sep 18, 2019         17          20          36          43          56           18
673     	Wed. Sep 18, 2019         14          23          26          39          58           21
673     	Wed. Sep 18, 2019         20          21          49          52          69           20
673     	Wed. Sep 18, 2019         11          20          49          52          56            8

597     	Wed. Dec 26, 2018         12          32          38          50          56            8
597     	Wed. Dec 26, 2018          3          34          39          58          64           13
597     	Wed. Dec 26, 2018          5          23          29          36          68           15

598			Sat. Dec 29, 2018		   8		  16		  27		  35		  48			7															
598			Sat. Dec 29, 2018		  12		  20		  30		  43		  53	   	   13
598			Sat. Dec 29, 2018		  14		  28		  32		  42		  63	   	   15

599			Wed. Jan 02, 2019		  14		  20		  46		  50		  54			4															
599			Wed. Jan 02, 2019		  16		  29		  34		  43		  51	   	    8
599			Wed. Jan 02, 2019		  19		  28		  31		  58		  64	   	   16

600			Sat. Jan 05, 2019		  10		  26		  37		  48		  61			5															
600			Sat. Jan 05, 2019		  16		  32		  41		  47		  62	   	    7
600			Sat. Jan 05, 2019		  14		  38		  43		  56		  63	   	    9

601         Wed. Jan 09, 2019          5           9          18          25          59            17															
601         Wed. Jan 09, 2019          8          16          40          43          65            14
601         Wed. Jan 09, 2019          4          14          36          39          51            10
#WIN		Wed. Jan 09, 2019		   6          19          37          49          59            22

602         Sat. Jan 12, 2019          4          18          26          45          63             7															
602         Sat. Jan 12, 2019         14          24          42          51          67            13
602         Sat. Jan 12, 2019          3          12          22          42          64            16

603         Wed. Jan 15, 2019          4          18          26          45          63             7															
603         Wed. Jan 15, 2019         14          24          42          51          67            13
603         Wed. Jan 15, 2019         15          34          38          47          54            16

604         Sat. Jan 19, 2019          11          14          26          45          67             5															
604         Sat. Jan 19, 2019          13          19          34          51          63             8
604         Sat. Jan 19, 2019           7          15          36          49          58            12
#WIN		Sat. Jan 19, 2019           5           8          41          65          66            20

605         Wed. Jan 23, 2019          10          16          42          53          62             6															
605         Wed. Jan 23, 2019          15          28          44          47          59            12
605         Wed. Jan 23, 2019           4          11          26          61          65            23
#WIN        Wed. Jan 23, 2019          23          25          47          48          50            24

607         Wed. Jan 30, 2019          14          17          39          41          52            21
607         Wed. Jan 30, 2019           9          12          25          28          49            22
607         Wed. Jan 30, 2019          18          26          55          59          62            23

